what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606475616907
java.specification.version,sysinfo,,,"1.6",1606475616907
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606475616907
java.version,sysinfo,,,"1.6.0_23",1606475616907
java.vm.info,sysinfo,,,"mixed mode",1606475616907
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606475616907
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606475616907
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606475616907
java.vm.specification.version,sysinfo,,,"1.0",1606475616907
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606475616907
java.vm.version,sysinfo,,,"19.0-b09",1606475616907
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1606475620162
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1606475620188
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1606475621537
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1606475635016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606475635084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606475636740
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.performTextSearchWorkspace",1606475636751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606475641860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606475642942
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1606475642999
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1606475643447
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1606475643574
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1606475643575
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1606475643577
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1606475643580
