what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1601624719000
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1601624719000
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1601624719000
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1601624719000
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1601624719001
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1601624719001
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1601624719001
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1601624719002
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1601624719002
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1601624719002
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1601624719002
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1601624719003
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1601624719003
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1601624719003
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1601624719003
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1601624719004
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1601624719004
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1601624719004
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1601624719005
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1601624719005
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1601624719006
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1601624719006
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1601624719006
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1601624719006
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1601624719007
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1601624719007
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1601624719007
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1601624719007
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1601624719007
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1601624719008
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1601624719008
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1601624719008
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1601624719009
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1601624719009
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1601624719009
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1601624719010
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1601624719010
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1601624719011
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1601624719011
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1601624719011
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1601624719012
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1601624719012
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1601624719012
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1601624719012
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1601624719013
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1601624719013
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1601624719013
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1601624719013
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1601624719014
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1601624719014
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1601624719014
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1601624719015
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1601624719015
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1601624719015
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1601624719015
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1601624719016
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1601624719016
os,sysinfo,,,"win32",1601624719017
arch,sysinfo,,,"x86",1601624719017
ws,sysinfo,,,"win32",1601624719017
locale,sysinfo,,,"fr_FR",1601624719017
processors,sysinfo,,,"8",1601624719017
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1601624719017
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1601624719017
java.specification.name,sysinfo,,,"Java Platform API Specification",1601624719017
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1601624719017
java.specification.version,sysinfo,,,"1.6",1601624719017
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1601624719017
java.version,sysinfo,,,"1.6.0_23",1601624719017
java.vm.info,sysinfo,,,"mixed mode",1601624719017
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1601624719017
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1601624719017
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1601624719017
java.vm.specification.version,sysinfo,,,"1.0",1601624719017
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1601624719017
java.vm.version,sysinfo,,,"19.0-b09",1601624719017
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1601624725516
started,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1601624737566
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1601624737587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624737628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624855402
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1601624855451
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1601624871806
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1601624871831
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1601624874090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624874158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624879846
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1601624879851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1601624879851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624893799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624931798
error,log,,,"Could not save the project location for 'test_compteur_lib'.",1601624932286
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624941946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624947331
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1601624947335
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1601624947335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624956723
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624957476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624957779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624959734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624964276
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624968576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624968844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624972347
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1601624975064
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1601624975068
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1601624977914
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1601624979624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624979678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601624985601
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1601624987998
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1601624987999
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1601624990723
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1601624991032
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1601624991037
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1601624991067
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1601625009846
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625010007
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625010055
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1601625032811
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625032904
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625032930
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625052344
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1601625055195
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625073706
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625090141
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1601625090143
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1601625090160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601625091628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1601625129876
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1601625137117
