what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1602570602212
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1602570602212
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1602570602212
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1602570602213
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1602570602213
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1602570602214
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1602570602214
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1602570602214
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1602570602215
os,sysinfo,,,"win32",1602570602216
arch,sysinfo,,,"x86",1602570602216
ws,sysinfo,,,"win32",1602570602216
locale,sysinfo,,,"fr_FR",1602570602216
processors,sysinfo,,,"8",1602570602216
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1602570602216
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1602570602216
java.specification.name,sysinfo,,,"Java Platform API Specification",1602570602216
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602570602216
java.specification.version,sysinfo,,,"1.6",1602570602216
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1602570602216
java.version,sysinfo,,,"1.6.0_23",1602570602216
java.vm.info,sysinfo,,,"mixed mode",1602570602216
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1602570602216
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1602570602216
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1602570602216
java.vm.specification.version,sysinfo,,,"1.0",1602570602216
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1602570602216
java.vm.version,sysinfo,,,"19.0-b09",1602570602216
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602570605463
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602570613015
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1602570613475
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1602570613520
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602570615341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602570615353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602570618238
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602570621853
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602570625428
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1602570627978
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1602570628023
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1602570628026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602570629913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602570631600
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602570634595
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1602570634646
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602570639955
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1602570640377
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1602570640514
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1602570640514
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1602570640515
